"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs74629033-<b>G</b>,"5 x 10-6",,0.95,'-,"0.116 unit increase",[0.067-0.165],PLGRKT,"Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,9:5421234
rs10961433-<b>G</b>,"2 x 10-6",,0.867,'-,"0.079 unit increase",[0.046-0.112],NFIB,"Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,9:14228472
rs4837404-<b>G</b>,"5 x 10-6",,0.368,'-,"0.064 unit increase",[0.037-0.091],PTGES,"Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,9:129743380
rs1110458-<b>C</b>,"8 x 10-6",,0.239,'-,"0.055 unit decrease",[0.031-0.079],"HS3ST2, USP31","Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,16:22969144
rs2941522-<b>C</b>,"7 x 10-9",,0.575,'-,"0.069 unit decrease",[0.045-0.093],"IKZF3, GRB7","Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,17:39754115
rs10258381-<b>G</b>,"5 x 10-6",,0.049,'-,"0.119 unit decrease",[0.068-0.17],'-,"Type 1 diabetes (age at diagnosis)","age at diagnosis, type 1 diabetes mellitus",'-,GCST011773,7:10057028
rs7301381-<b>C</b>,"5 x 10-11",,0.463691,'-,"0.09358772 unit decrease",[0.066-0.122],KLRG1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,12:8971336
rs238265-<b>G</b>,"2 x 10-9",,0.695162,'-,"0.09082453 unit decrease",[0.061-0.121],LINC02341,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,13:42356523
rs4238595-<b>C</b>,"2 x 10-11",,0.680478,'-,"0.11213453 unit decrease",[0.079-0.145],"UMOD, GP2","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,16:20331769
rs8046043-<b>C</b>,"2 x 10-8",,0.391629,'-,"0.08458667 unit decrease",[0.055-0.114],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,16:80250127
rs61759532-<b>T</b>,"2 x 10-10",,0.234556,'-,"0.11837882 unit increase",[0.082-0.155],ACAP1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,17:7337072
rs11651753-<b>T</b>,"1 x 10-9",,0.41983,'-,"0.08688845 unit decrease",[0.059-0.115],"PRR15L, PNPO","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,17:47951723
rs57209021-<b>T</b>,"4 x 10-8",,0.225582,'-,"0.1006932 unit increase",[0.065-0.137],"RDM1P3, ARHGAP27P2","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,17:68168777
rs74203920-<b>T</b>,"2 x 10-8",,0.019793,'-,"0.3138792 unit increase",[0.2-0.42],AIRE,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,21:44294411
rs10751776-<b>C</b>,"3 x 10-8",,0.509915,'-,"0.07814535 unit increase",[0.051-0.106],"RUNX3, MIR4425","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,1:24970252
rs574384-<b>A</b>,"2 x 10-8",,0.894668,'-,"0.13360222 unit decrease",[0.087-0.18],PSMB2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,1:35622060
rs12742756-<b>G</b>,"4 x 10-8",,0.428204,'-,"0.08310696 unit decrease",[0.054-0.113],INPP5B,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,1:37881745
rs855330-<b>C</b>,"5 x 10-11",,0.259422,'-,"0.111207716 unit increase",[0.078-0.144],PGM1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,1:63648218
rs1493696-<b>A</b>,"8 x 10-9",,0.13231,'-,"0.12832591 unit increase",[0.085-0.172],NOTCH2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,1:119962909
rs570794153-<b>GA</b>,"4 x 10-11",,0.139675,'-,"0.14543974 unit decrease",[0.1-0.19],"PTPRC, ATP6V1G3","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,1:198629260
rs12128789-<b>C</b>,"4 x 10-9",,0.131779,'-,"0.12696852 unit increase",[0.085-0.169],"BATF3, LINC02773","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,1:212679490
rs1881146-<b>T</b>,"5 x 10-8",,0.310529,'-,"0.09517027 unit decrease",[0.061-0.129],MIR3681HG,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,2:12494668
rs12464462-<b>G</b>,"9 x 10-10",,0.410445,'-,"0.0879553 unit decrease",[0.06-0.116],MIR4432HG,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,2:60409281
rs13018977-<b>A</b>,"2 x 10-8",,0.224602,'-,"0.100334994 unit increase",[0.065-0.135],SEPTIN2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,2:241338592
rs12644686-<b>G</b>,"2 x 10-8",,0.193778,'-,"0.10774961 unit decrease",[0.07-0.146],LINC02362,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,4:184381748
rs114378220-<b>T</b>,"5 x 10-9",,0.070292,'-,"0.17790234 unit increase",[0.12-0.24],CAMK4,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,5:111230662
rs766751473-<b>T</b>,"1 x 10-8",,0.40393,'-,"0.080249354 unit increase",[0.053-0.108],IRF1-AS1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,5:132431072
rs1050979-<b>G</b>,"6 x 10-14",,0.515138,'-,"0.106195554 unit increase",[0.079-0.134],IRF4,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,6:410417
rs7805218-<b>A</b>,"9 x 10-9",,0.30774,'-,"0.09541352 unit increase",[0.063-0.128],ITGB8,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,7:20339178
rs7795896-<b>T</b>,"2 x 10-16",,0.691577,'-,"0.13543522 unit decrease",[0.1-0.17],CFTR,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,7:117446559
rs1947178-<b>G</b>,"2 x 10-9",,0.791944,'-,"0.10326733 unit decrease",[0.07-0.137],TOX,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,8:58959618
rs13259300-<b>C</b>,"3 x 10-10",,0.598278,'-,"0.0921915 unit decrease",[0.063-0.121],COLEC10,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,8:119070702
rs3802214-<b>C</b>,"3 x 10-8",,0.798827,'-,"0.10660862 unit decrease",[0.069-0.144],AGO2,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,8:140606084
rs541856133-<b>T</b>,"4 x 10-17",,0.001509,'-,"1.1022301 unit increase",[0.85-1.36],"GTF3C5, CEL","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,9:133060938
rs537544-<b>T</b>,"9 x 10-9",,0.615565,'-,"0.08641077 unit decrease",[0.057-0.116],GATA3,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,10:8066419
rs78325861-<b>G</b>,"2 x 10-11",,0.039037,'-,"0.2820823 unit decrease",[0.2-0.36],"ADAMTS14, PRF1","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,10:70618733
rs140215710-<b>A</b>,"4 x 10-8",,0.010339,'-,"0.412643 unit increase",[0.27-0.56],"KCNQ1DN, CDKN1C","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,11:2881830
rs7936434-<b>C</b>,"4 x 10-8",,0.464277,'-,"0.07692268 unit increase",[0.05-0.104],"LINC02757, EMSY","Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,11:76582761
rs607703-<b>T</b>,"1 x 10-10",,0.484409,'-,"0.09201457 unit increase",[0.064-0.12],FLI1,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST90014023,11:128734279
rs3864055-<b>T</b>,"6 x 10-6",,NR,1.79,'-,[1.39-2.31],"Y_RNA, ARL8B","Fulminant type 1 diabetes","type 1 diabetes mellitus",'-,GCST007433,3:5093886
rs12644905-<b>C</b>,"4 x 10-6",,NR,1.91,'-,[1.45-2.52],"ACSL1, CENPU","Fulminant type 1 diabetes","type 1 diabetes mellitus",'-,GCST007433,4:184755529
rs12203596-<b>C</b>,"6 x 10-6",,NR,2.84,'-,[1.78-4.53],STMND1,"Fulminant type 1 diabetes","type 1 diabetes mellitus",'-,GCST007433,6:17120009
rs9356171-<b>A</b>,"9 x 10-6",,NR,1.9,'-,[1.43-2.52],RN7SL366P,"Fulminant type 1 diabetes","type 1 diabetes mellitus",'-,GCST007433,6:163922743
rs7871386-<b>C</b>,"5 x 10-6",,NR,2.54,'-,[1.69-3.83],'-,"Fulminant type 1 diabetes","type 1 diabetes mellitus",'-,GCST007433,9:23166744
rs5790666-<b>?</b>,"8 x 10-9",,NR,2.32,'-,[1.65-3.26],"CBX3P1, BDNF","Fulminant type 1 diabetes","type 1 diabetes mellitus",'-,GCST007433,11:27778324
rs11170445-<b>T</b>,"8 x 10-9",,NR,1.96,'-,[1.56-2.46],"EIF4A1P4, HIGD1AP1","Fulminant type 1 diabetes","type 1 diabetes mellitus",'-,GCST007433,12:53151908
rs178050-<b>A</b>,"7 x 10-6",,NR,1.66,'-,[1.33-2.07],PI4KA,"Fulminant type 1 diabetes","type 1 diabetes mellitus",'-,GCST007433,22:20814301
rs9268853-<b>?</b>,"2 x 10-23",,NR,3.18,'-,[2.53-4.01],HLA-DRB9,"Fulminant type 1 diabetes","type 1 diabetes mellitus",'-,GCST007433,6:32461866
chr3:27921000-<b>G</b>,"1 x 10-8",,NR,4.263,'-,[2.595-7.005],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr1:182869236-<b>T</b>,"4 x 10-8",,NR,4.545,'-,[2.653-7.787],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr18:21507398-<b>C</b>,"2 x 10-8",,NR,4.641,'-,[2.706-7.96],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr3:114257954-<b>T</b>,"5 x 10-8",,NR,5.021,'-,[2.815-8.955],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr8:20451062-<b>T</b>,"8 x 10-9",,NR,5.251,'-,[2.986-9.233],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:46032617-<b>T</b>,"2 x 10-8",,NR,5.689,'-,[3.094-10.46],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr16:51887655-<b>C</b>,"2 x 10-9",,NR,5.751,'-,[3.246-10.19],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr10:60664647-<b>C</b>,"2 x 10-8",,NR,6.359,'-,[3.331-12.14],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr21:41956642-<b>A</b>,"4 x 10-9",,NR,6.443,'-,[3.463-11.99],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr7:48863732-<b>T</b>,"5 x 10-8",,NR,6.485,'-,[3.318-12.68],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr1:102495801-<b>A</b>,"3 x 10-8",,NR,6.545,'-,[3.363-12.74],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr10:120940685-<b>A</b>,"2 x 10-8",,NR,6.866,'-,[3.513-13.42],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr14:21746775-<b>T</b>,"3 x 10-9",,NR,8.093,'-,[4.06-16.13],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr20:4377254-<b>C</b>,"3 x 10-9",,NR,8.113,'-,[4.07-16.17],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr19:36633617-<b>A</b>,"4 x 10-8",,NR,8.326,'-,[3.917-17.7],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr19:36013582-<b>T</b>,"1 x 10-8",,NR,9.465,'-,[4.375-20.48],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr2:217759606-<b>C</b>,"4 x 10-8",,NR,10.27,'-,[4.486-23.51],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr1:221898846-<b>A</b>,"3 x 10-8",,NR,10.39,'-,[4.534-23.79],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr19:37034392-<b>G</b>,"3 x 10-8",,NR,10.42,'-,[4.553-23.86],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr4:105683278-<b>T</b>,"2 x 10-8",,NR,11.22,'-,[4.828-26.05],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr15:46441258-<b>T</b>,"4 x 10-9",,NR,11.31,'-,[5.049-25.34],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr8:76353999-<b>T</b>,"1 x 10-8",,NR,12.22,'-,[5.17-28.87],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr1:78372988-<b>C</b>,"3 x 10-8",,NR,13.8,'-,[5.457-34.89],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:8311442-<b>T</b>,"6 x 10-9",,NR,14.63,'-,[5.921-36.17],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:32535377-<b>A</b>,"2 x 10-306",,NR,0.113,'-,[0.1008-0.1266],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:32911694-<b>G</b>,"6 x 10-63",,NR,2.858,'-,[2.528-3.232],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr18:69571112-<b>T</b>,"1 x 10-10",,NR,2.858,'-,[2.076-3.935],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr14:96458513-<b>A</b>,"1 x 10-8",,NR,2.907,'-,[2.017-4.19],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:31508681-<b>A</b>,"3 x 10-80",,NR,2.956,'-,[2.643-3.306],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr16:61597297-<b>G</b>,"8 x 10-9",,NR,2.981,'-,[2.057-4.322],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr7:117532167-<b>A</b>,"2 x 10-8",,NR,3.107,'-,[2.09-4.619],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:31628361-<b>G</b>,"3 x 10-89",,NR,3.135,'-,[2.803-3.505],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:31799896-<b>TA</b>,"2 x 10-90",,NR,3.155,'-,[2.822-3.527],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:32096949-<b>C</b>,"1 x 10-90",,NR,3.16,'-,[2.826-3.533],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:31902549-<b>A</b>,"9 x 10-92",,NR,3.179,'-,[2.844-3.555],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:32809144-<b>C</b>,"9 x 10-89",,NR,3.209,'-,[2.862-3.598],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:32334605-<b>T</b>,"4 x 10-102",,NR,3.342,'-,[2.993-3.732],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr18:58518360-<b>A</b>,"5 x 10-9",,NR,3.355,'-,[2.235-5.034],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:32231204-<b>T</b>,"4 x 10-106",,NR,3.398,'-,[3.045-3.791],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:32469977-<b>A</b>,"4 x 10-108",,NR,3.448,'-,[3.09-3.849],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr19:47871241-<b>T</b>,"2 x 10-8",,NR,3.448,'-,[2.241-5.304],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr11:78403273-<b>T</b>,"5 x 10-9",,NR,3.45,'-,[2.279-5.222],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr21:44998426-<b>T</b>,"8 x 10-9",,NR,3.472,'-,[2.274-5.301],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr6:32698749-<b>T</b>,"7 x 10-110",,NR,3.482,'-,[3.12-3.886],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr2:25865493-<b>C</b>,"5 x 10-9",,NR,3.521,'-,[2.308-5.372],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr18:58389479-<b>T</b>,"5 x 10-10",,NR,3.772,'-,[2.485-5.727],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr4:24259293-<b>G</b>,"4 x 10-8",,NR,3.831,'-,[2.375-6.182],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr1:63633409-<b>G</b>,"2 x 10-8",,NR,3.839,'-,[2.4-6.141],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr15:74624584-<b>T</b>,"3 x 10-9",,NR,3.956,'-,[2.515-6.221],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr11:33955292-<b>G</b>,"2 x 10-9",,NR,4.077,'-,[2.572-6.463],'-,"Type 1 diabetes with low genetic risk score","type 1 diabetes mellitus",'-,GCST90000181,"Mapping not available"
chr12:65543332-<b>G</b>,"1 x 10-9",,NR,1.199,'-,[1.131-1.272],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr19:31157758-<b>C</b>,"4 x 10-16",,NR,1.2,'-,[1.148-1.254],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr1:37781423-<b>G</b>,"6 x 10-16",,NR,1.207,'-,[1.153-1.263],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr4:92954497-<b>G</b>,"7 x 10-9",,NR,1.218,'-,[1.139-1.302],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr8:56693303-<b>ATT</b>,"4 x 10-10",,NR,1.219,'-,[1.146-1.297],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr7:129949957-<b>T</b>,"5 x 10-12",,NR,1.227,'-,[1.158-1.3],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr7:44959149-<b>C</b>,"4 x 10-15",,NR,1.23,'-,[1.168-1.295],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr1:37891198-<b>C</b>,"1 x 10-19",,NR,1.243,'-,[1.186-1.303],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr3:57259774-<b>G</b>,"4 x 10-16",,NR,1.26,'-,[1.192-1.333],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr9:20324372-<b>G</b>,"7 x 10-23",,NR,1.263,'-,[1.206-1.323],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr12:65644210-<b>C</b>,"1 x 10-14",,NR,1.291,'-,[1.21-1.377],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:26835246-<b>C</b>,"8 x 10-26",,NR,1.316,'-,[1.25-1.385],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr15:27596077-<b>C</b>,"2 x 10-20",,NR,1.331,'-,[1.253-1.414],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr2:137009624-<b>A</b>,"2 x 10-26",,NR,1.335,'-,[1.266-1.408],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr2:134538048-<b>C</b>,"3 x 10-52",,NR,1.398,'-,[1.339-1.459],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr2:134722410-<b>G</b>,"3 x 10-57",,NR,1.414,'-,[1.355-1.476],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr2:134845031-<b>T</b>,"1 x 10-58",,NR,1.419,'-,[1.36-1.481],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr2:134947988-<b>G</b>,"1 x 10-73",,NR,1.481,'-,[1.42-1.546],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr18:69405649-<b>G</b>,"1 x 10-6",,NR,1.657,'-,[1.349-2.034],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:27063201-<b>C</b>,"3 x 10-96",,NR,1.725,'-,[1.638-1.816],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr16:9864106-<b>C</b>,"9 x 10-10",,NR,1.728,'-,[1.451-2.057],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr14:96458513-<b>A</b>,"9 x 10-7",,NR,1.74,'-,[1.395-2.17],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr9:5703334-<b>T</b>,"4 x 10-10",,NR,1.765,'-,[1.477-2.11],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:33160210-<b>C</b>,"2 x 10-151",,NR,1.774,'-,[1.699-1.851],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:25365660-<b>T</b>,"5 x 10-41",,NR,1.798,'-,[1.65-1.959],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:32684938-<b>A</b>,"2 x 10-308",,NR,0.2943,'-,[0.2761-0.3136],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:31275040-<b>A</b>,"2 x 10-286",,NR,0.4354,'-,[0.4162-0.4554],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr2:135859184-<b>C</b>,"1 x 10-121",,NR,0.5905,'-,[0.5651-0.6171],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr2:135671796-<b>C</b>,"6 x 10-117",,NR,0.5974,'-,[0.5718-0.6242],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr2:135149518-<b>G</b>,"1 x 10-116",,NR,0.5995,'-,[0.5739-0.6263],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr2:135571320-<b>T</b>,"7 x 10-114",,NR,0.603,'-,[0.5772-0.63],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr2:135403522-<b>G</b>,"2 x 10-113",,NR,0.6048,'-,[0.579-0.6317],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr2:136026774-<b>G</b>,"1 x 10-91",,NR,0.6281,'-,[0.6006-0.657],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr2:135265228-<b>T</b>,"2 x 10-75",,NR,0.644,'-,[0.6144-0.6749],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr2:136221960-<b>G</b>,"2 x 10-73",,NR,0.6755,'-,[0.6474-0.7047],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:29683408-<b>G</b>,"2 x 10-60",,NR,0.6795,'-,[0.6489-0.7117],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr6:29949300-<b>A</b>,"2 x 10-44",,NR,0.7186,'-,[0.6861-0.7526],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr11:18269981-<b>G</b>,"3 x 10-39",,NR,0.7426,'-,[0.7103-0.7764],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr4:137228466-<b>C</b>,"1 x 10-20",,NR,0.7649,'-,[0.7229-0.8093],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr3:57373867-<b>G</b>,"6 x 10-17",,NR,0.7655,'-,[0.719-0.815],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr2:41913324-<b>A</b>,"2 x 10-28",,NR,0.7827,'-,[0.7494-0.8174],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr10:131361823-<b>G</b>,"5 x 10-12",,NR,0.8072,'-,[0.7595-0.8578],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr1:151853237-<b>G</b>,"4 x 10-19",,NR,0.8166,'-,[0.7811-0.8537],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
chr14:22383427-<b>T</b>,"8 x 10-13",,NR,0.8318,'-,[0.7909-0.8749],'-,"Type 1 diabetes","type 1 diabetes mellitus",'-,GCST012179,"Mapping not available"
